"REF_DATE","GEO","DGUID","Radio station format","Audience occupation","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1999","Canada","","Adult contemporary music","General labourer","Percent","239","units","0","v28465877","1.1.1","23.7","","","","1"
"1999","Canada","","Adult contemporary music","Service industry worker","Percent","239","units","0","v28465878","1.1.2","17.1","","","","1"
"1999","Canada","","Adult contemporary music","Farmer, farm worker","Percent","239","units","0","v28465879","1.1.3","29.4","","","","1"
"1999","Canada","","Adult contemporary music","Fisheries worker","Percent","239","units","0","v28465880","1.1.4","15.7","","","","1"
"1999","Canada","","Adult contemporary music","Skilled tradesperson","Percent","239","units","0","v28465881","1.1.5","27.9","","","","1"
"1999","Canada","","Adult contemporary music","Skilled service worker","Percent","239","units","0","v28465882","1.1.6","36.5","","","","1"
"1999","Canada","","Adult contemporary music","Technical worker","Percent","239","units","0","v28465883","1.1.7","28.4","","","","1"
"1999","Canada","","Adult contemporary music","Clerical and related worker","Percent","239","units","0","v28465884","1.1.8","21.7","","","","1"
"1999","Canada","","Adult contemporary music","Artistic, literary, recreational worker","Percent","239","units","0","v28465885","1.1.9","26.6","","","","1"
"1999","Canada","","Adult contemporary music","Sales worker","Percent","239","units","0","v28465886","1.1.10","16.5","","","","1"
"1999","Canada","","Adult contemporary music","Middle manager","Percent","239","units","0","v28465887","1.1.11","31.3","","","","1"
"1999","Canada","","Adult contemporary music","Store owner, self employed, contractor","Percent","239","units","0","v28465888","1.1.12","24.1","","","","1"
"1999","Canada","","Adult contemporary music","Senior manager or executive","Percent","239","units","0","v28465889","1.1.13","28.2","","","","1"
"1999","Canada","","Adult contemporary music","Professional","Percent","239","units","0","v28465890","1.1.14","25.7","","","","1"
"1999","Canada","","Adult contemporary music","Not working","Percent","239","units","0","v28465891","1.1.15","15.3","","","","1"
"1999","Canada","","Adult contemporary music","Occupation unknown","Percent","239","units","0","v28465895","1.1.19","17.7","","","","1"
"1999","Canada","","Album-oriented-rock music","General labourer","Percent","239","units","0","v28465896","1.2.1","8.6","","","","1"
"1999","Canada","","Album-oriented-rock music","Service industry worker","Percent","239","units","0","v28465897","1.2.2","2.8","","","","1"
"1999","Canada","","Album-oriented-rock music","Farmer, farm worker","Percent","239","units","0","v28465898","1.2.3","7.9","","","","1"
"1999","Canada","","Album-oriented-rock music","Fisheries worker","Percent","239","units","0","v28465899","1.2.4","2.6","","","","1"
"1999","Canada","","Album-oriented-rock music","Skilled tradesperson","Percent","239","units","0","v28465900","1.2.5","7.2","","","","1"
"1999","Canada","","Album-oriented-rock music","Skilled service worker","Percent","239","units","0","v28465901","1.2.6","5.9","","","","1"
"1999","Canada","","Album-oriented-rock music","Technical worker","Percent","239","units","0","v28465902","1.2.7","9.1","","","","1"
"1999","Canada","","Album-oriented-rock music","Clerical and related worker","Percent","239","units","0","v28465903","1.2.8","10.4","","","","1"
"1999","Canada","","Album-oriented-rock music","Artistic, literary, recreational worker","Percent","239","units","0","v28465904","1.2.9","8.5","","","","1"
"1999","Canada","","Album-oriented-rock music","Sales worker","Percent","239","units","0","v28465905","1.2.10","7.3","","","","1"
"1999","Canada","","Album-oriented-rock music","Middle manager","Percent","239","units","0","v28465906","1.2.11","8.5","","","","1"
"1999","Canada","","Album-oriented-rock music","Store owner, self employed, contractor","Percent","239","units","0","v28465907","1.2.12","5.4","","","","1"
"1999","Canada","","Album-oriented-rock music","Senior manager or executive","Percent","239","units","0","v28465908","1.2.13","3.9","","","","1"
"1999","Canada","","Album-oriented-rock music","Professional","Percent","239","units","0","v28465909","1.2.14","6.1","","","","1"
"1999","Canada","","Album-oriented-rock music","Not working","Percent","239","units","0","v28465910","1.2.15","4.6","","","","1"
"1999","Canada","","Album-oriented-rock music","Occupation unknown","Percent","239","units","0","v28465914","1.2.19","4.0","","","","1"
"1999","Canada","","Canadian Broadcasting Corporation (CBC)","General labourer","Percent","239","units","0","v28465915","1.3.1","1.7","","","","1"
"1999","Canada","","Canadian Broadcasting Corporation (CBC)","Service industry worker","Percent","239","units","0","v28465916","1.3.2","4.7","","","","1"
"1999","Canada","","Canadian Broadcasting Corporation (CBC)","Farmer, farm worker","Percent","239","units","0","v28465917","1.3.3","2.6","","","","1"
"1999","Canada","","Canadian Broadcasting Corporation (CBC)","Fisheries worker","Percent","239","units","0","v28465918","1.3.4","9.7","","","","1"
"1999","Canada","","Canadian Broadcasting Corporation (CBC)","Skilled tradesperson","Percent","239","units","0","v28465919","1.3.5","7.9","","","","1"
"1999","Canada","","Canadian Broadcasting Corporation (CBC)","Skilled service worker","Percent","239","units","0","v28465920","1.3.6","3.8","","","","1"
"1999","Canada","","Canadian Broadcasting Corporation (CBC)","Technical worker","Percent","239","units","0","v28465921","1.3.7","8.9","","","","1"
"1999","Canada","","Canadian Broadcasting Corporation (CBC)","Clerical and related worker","Percent","239","units","0","v28465922","1.3.8","3.8","","","","1"
"1999","Canada","","Canadian Broadcasting Corporation (CBC)","Artistic, literary, recreational worker","Percent","239","units","0","v28465923","1.3.9","6.0","","","","1"
"1999","Canada","","Canadian Broadcasting Corporation (CBC)","Sales worker","Percent","239","units","0","v28465924","1.3.10","23.2","","","","1"
"1999","Canada","","Canadian Broadcasting Corporation (CBC)","Middle manager","Percent","239","units","0","v28465925","1.3.11","5.8","","","","1"
"1999","Canada","","Canadian Broadcasting Corporation (CBC)","Store owner, self employed, contractor","Percent","239","units","0","v28465926","1.3.12","9.6","","","","1"
"1999","Canada","","Canadian Broadcasting Corporation (CBC)","Senior manager or executive","Percent","239","units","0","v28465927","1.3.13","17.6","","","","1"
"1999","Canada","","Canadian Broadcasting Corporation (CBC)","Professional","Percent","239","units","0","v28465928","1.3.14","20.5","","","","1"
"1999","Canada","","Canadian Broadcasting Corporation (CBC)","Not working","Percent","239","units","0","v28465929","1.3.15","12.4","","","","1"
"1999","Canada","","Canadian Broadcasting Corporation (CBC)","Occupation unknown","Percent","239","units","0","v28465933","1.3.19","12.9","","","","1"
"1999","Canada","","Contemporary music","General labourer","Percent","239","units","0","v28465934","1.4.1","13.1","","","","1"
"1999","Canada","","Contemporary music","Service industry worker","Percent","239","units","0","v28465935","1.4.2","6.1","","","","1"
"1999","Canada","","Contemporary music","Farmer, farm worker","Percent","239","units","0","v28465936","1.4.3","17.2","","","","1"
"1999","Canada","","Contemporary music","Fisheries worker","Percent","239","units","0","v28465937","1.4.4","4.9","","","","1"
"1999","Canada","","Contemporary music","Skilled tradesperson","Percent","239","units","0","v28465938","1.4.5","10.9","","","","1"
"1999","Canada","","Contemporary music","Skilled service worker","Percent","239","units","0","v28465939","1.4.6","12.8","","","","1"
"1999","Canada","","Contemporary music","Technical worker","Percent","239","units","0","v28465940","1.4.7","11.3","","","","1"
"1999","Canada","","Contemporary music","Clerical and related worker","Percent","239","units","0","v28465941","1.4.8","9.9","","","","1"
"1999","Canada","","Contemporary music","Artistic, literary, recreational worker","Percent","239","units","0","v28465942","1.4.9","11.9","","","","1"
