Year,GEO,Genre,Occupation,UOM,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
1999,Canada,Adult contemporary music,General labourer,Percent,23.7,,,,1
1999,Canada,Adult contemporary music,Service industry worker,Percent,17.1,,,,1
1999,Canada,Adult contemporary music,"Farmer, farm worker",Percent,29.4,,,,1
1999,Canada,Adult contemporary music,Fisheries worker,Percent,15.7,,,,1
1999,Canada,Adult contemporary music,Skilled tradesperson,Percent,27.9,,,,1
1999,Canada,Adult contemporary music,Skilled service worker,Percent,36.5,,,,1
1999,Canada,Adult contemporary music,Technical worker,Percent,28.4,,,,1
1999,Canada,Adult contemporary music,Clerical and related worker,Percent,21.7,,,,1
1999,Canada,Adult contemporary music,"Artistic, literary, recreational worker",Percent,26.6,,,,1
1999,Canada,Adult contemporary music,Sales worker,Percent,16.5,,,,1
1999,Canada,Adult contemporary music,Middle manager,Percent,31.3,,,,1
1999,Canada,Adult contemporary music,"Store owner, self employed, contractor",Percent,24.1,,,,1
1999,Canada,Adult contemporary music,Senior manager or executive,Percent,28.2,,,,1
1999,Canada,Adult contemporary music,Professional,Percent,25.7,,,,1
1999,Canada,Adult contemporary music,Not working,Percent,15.3,,,,1
1999,Canada,Adult contemporary music,Occupation unknown,Percent,17.7,,,,1
1999,Canada,Album-oriented-rock music,General labourer,Percent,8.6,,,,1
1999,Canada,Album-oriented-rock music,Service industry worker,Percent,2.8,,,,1
1999,Canada,Album-oriented-rock music,"Farmer, farm worker",Percent,7.9,,,,1
1999,Canada,Album-oriented-rock music,Fisheries worker,Percent,2.6,,,,1
1999,Canada,Album-oriented-rock music,Skilled tradesperson,Percent,7.2,,,,1
1999,Canada,Album-oriented-rock music,Skilled service worker,Percent,5.9,,,,1
1999,Canada,Album-oriented-rock music,Technical worker,Percent,9.1,,,,1
1999,Canada,Album-oriented-rock music,Clerical and related worker,Percent,10.4,,,,1
1999,Canada,Album-oriented-rock music,"Artistic, literary, recreational worker",Percent,8.5,,,,1
1999,Canada,Album-oriented-rock music,Sales worker,Percent,7.3,,,,1
1999,Canada,Album-oriented-rock music,Middle manager,Percent,8.5,,,,1
1999,Canada,Album-oriented-rock music,"Store owner, self employed, contractor",Percent,5.4,,,,1
1999,Canada,Album-oriented-rock music,Senior manager or executive,Percent,3.9,,,,1
1999,Canada,Album-oriented-rock music,Professional,Percent,6.1,,,,1
1999,Canada,Album-oriented-rock music,Not working,Percent,4.6,,,,1
1999,Canada,Album-oriented-rock music,Occupation unknown,Percent,4.0,,,,1
1999,Canada,Canadian Broadcasting Corporation (CBC),General labourer,Percent,1.7,,,,1
1999,Canada,Canadian Broadcasting Corporation (CBC),Service industry worker,Percent,4.7,,,,1
1999,Canada,Canadian Broadcasting Corporation (CBC),"Farmer, farm worker",Percent,2.6,,,,1
1999,Canada,Canadian Broadcasting Corporation (CBC),Fisheries worker,Percent,9.7,,,,1
1999,Canada,Canadian Broadcasting Corporation (CBC),Skilled tradesperson,Percent,7.9,,,,1
1999,Canada,Canadian Broadcasting Corporation (CBC),Skilled service worker,Percent,3.8,,,,1
1999,Canada,Canadian Broadcasting Corporation (CBC),Technical worker,Percent,8.9,,,,1
1999,Canada,Canadian Broadcasting Corporation (CBC),Clerical and related worker,Percent,3.8,,,,1
1999,Canada,Canadian Broadcasting Corporation (CBC),"Artistic, literary, recreational worker",Percent,6.0,,,,1
1999,Canada,Canadian Broadcasting Corporation (CBC),Sales worker,Percent,23.2,,,,1
1999,Canada,Canadian Broadcasting Corporation (CBC),Middle manager,Percent,5.8,,,,1
1999,Canada,Canadian Broadcasting Corporation (CBC),"Store owner, self employed, contractor",Percent,9.6,,,,1
1999,Canada,Canadian Broadcasting Corporation (CBC),Senior manager or executive,Percent,17.6,,,,1
1999,Canada,Canadian Broadcasting Corporation (CBC),Professional,Percent,20.5,,,,1
1999,Canada,Canadian Broadcasting Corporation (CBC),Not working,Percent,12.4,,,,1
1999,Canada,Canadian Broadcasting Corporation (CBC),Occupation unknown,Percent,12.9,,,,1
1999,Canada,Contemporary music,General labourer,Percent,13.1,,,,1
1999,Canada,Contemporary music,Service industry worker,Percent,6.1,,,,1
1999,Canada,Contemporary music,"Farmer, farm worker",Percent,17.2,,,,1
1999,Canada,Contemporary music,Fisheries worker,Percent,4.9,,,,1
1999,Canada,Contemporary music,Skilled tradesperson,Percent,10.9,,,,1
1999,Canada,Contemporary music,Skilled service worker,Percent,12.8,,,,1
1999,Canada,Contemporary music,Technical worker,Percent,11.3,,,,1
1999,Canada,Contemporary music,Clerical and related worker,Percent,9.9,,,,1
1999,Canada,Contemporary music,"Artistic, literary, recreational worker",Percent,11.9,,,,1
1999,Canada,Contemporary music,Sales worker,Percent,13.1,,,,1
1999,Canada,Contemporary music,Middle manager,Percent,10.0,,,,1
1999,Canada,Contemporary music,"Store owner, self employed, contractor",Percent,10.1,,,,1
1999,Canada,Contemporary music,Senior manager or executive,Percent,8.2,,,,1
1999,Canada,Contemporary music,Professional,Percent,8.3,,,,1
1999,Canada,Contemporary music,Not working,Percent,11.5,,,,1
1999,Canada,Contemporary music,Occupation unknown,Percent,10.8,,,,1
1999,Canada,Country music,General labourer,Percent,12.2,,,,1
1999,Canada,Country music,Service industry worker,Percent,28.4,,,,1
1999,Canada,Country music,"Farmer, farm worker",Percent,12.1,,,,1
1999,Canada,Country music,Fisheries worker,Percent,4.6,,,,1
1999,Canada,Country music,Skilled tradesperson,Percent,10.6,,,,1
1999,Canada,Country music,Skilled service worker,Percent,11.4,,,,1
1999,Canada,Country music,Technical worker,Percent,7.5,,,,1
1999,Canada,Country music,Clerical and related worker,Percent,14.7,,,,1
1999,Canada,Country music,"Artistic, literary, recreational worker",Percent,8.1,,,,1
1999,Canada,Country music,Sales worker,Percent,7.6,,,,1
1999,Canada,Country music,Middle manager,Percent,9.5,,,,1
1999,Canada,Country music,"Store owner, self employed, contractor",Percent,13.2,,,,1
1999,Canada,Country music,Senior manager or executive,Percent,6.3,,,,1
1999,Canada,Country music,Professional,Percent,6.1,,,,1
1999,Canada,Country music,Not working,Percent,16.0,,,,1
1999,Canada,Country music,Occupation unknown,Percent,12.4,,,,1
1999,Canada,Easy listening music,General labourer,Percent,2.0,,,,1
1999,Canada,Easy listening music,Service industry worker,Percent,0.0,,,,1
1999,Canada,Easy listening music,"Farmer, farm worker",Percent,3.1,,,,1
1999,Canada,Easy listening music,Fisheries worker,Percent,1.5,,,,1
1999,Canada,Easy listening music,Skilled tradesperson,Percent,3.1,,,,1
1999,Canada,Easy listening music,Skilled service worker,Percent,2.9,,,,1
1999,Canada,Easy listening music,Technical worker,Percent,2.4,,,,1
1999,Canada,Easy listening music,Clerical and related worker,Percent,1.5,,,,1
1999,Canada,Easy listening music,"Artistic, literary, recreational worker",Percent,3.6,,,,1
1999,Canada,Easy listening music,Sales worker,Percent,1.2,,,,1
1999,Canada,Easy listening music,Middle manager,Percent,3.3,,,,1
1999,Canada,Easy listening music,"Store owner, self employed, contractor",Percent,2.9,,,,1
1999,Canada,Easy listening music,Senior manager or executive,Percent,2.0,,,,1
1999,Canada,Easy listening music,Professional,Percent,2.6,,,,1
1999,Canada,Easy listening music,Not working,Percent,2.7,,,,1
1999,Canada,Easy listening music,Occupation unknown,Percent,2.5,,,,1
1999,Canada,"Golden-oldies, rock music",General labourer,Percent,18.8,,,,1
1999,Canada,"Golden-oldies, rock music",Service industry worker,Percent,17.8,,,,1
1999,Canada,"Golden-oldies, rock music","Farmer, farm worker",Percent,11.1,,,,1
1999,Canada,"Golden-oldies, rock music",Fisheries worker,Percent,7.5,,,,1
1999,Canada,"Golden-oldies, rock music",Skilled tradesperson,Percent,13.1,,,,1
1999,Canada,"Golden-oldies, rock music",Skilled service worker,Percent,10.4,,,,1
1999,Canada,"Golden-oldies, rock music",Technical worker,Percent,16.0,,,,1
1999,Canada,"Golden-oldies, rock music",Clerical and related worker,Percent,21.7,,,,1
1999,Canada,"Golden-oldies, rock music","Artistic, literary, recreational worker",Percent,13.8,,,,1
1999,Canada,"Golden-oldies, rock music",Sales worker,Percent,10.6,,,,1
